SK_ID_CURR,TARGET
100001,0.004
100005,0.04
100013,0.062
100028,0.054
100038,0.096
100042,0.13
100057,0.03
100065,0.094
100066,0.012
100067,0.174
100074,0.054
100090,0.036
100091,0.09
100092,0.168
100106,0.078
100107,0.142
100109,0.044
100117,0.064
100128,0.144
100141,0.028
100150,0.01
100168,0.026
100169,0.154
100170,0.024
100171,0.01
100172,0.198
100184,0.054
100187,0.064
100212,0.174
100222,0.03
100223,0.026
100232,0.01
100241,0.11
100245,0.034
100253,0.116
100256,0.12
100271,0.024
100278,0.298
100280,0.0
100306,0.146
100311,0.196
100312,0.082
100330,0.2
100331,0.044
100352,0.09
100358,0.034
100367,0.01
100382,0.202
100384,0.082
100385,0.106
100386,0.084
100399,0.02
100404,0.072
100416,0.038
100422,0.058
100426,0.052
100438,0.068
100444,0.162
100445,0.102
100446,0.226
100447,0.032
100450,0.088
100466,0.004
100483,0.004
100484,0.072
100494,0.146
100510,0.178
100512,0.048
100517,0.034
100548,0.034
100551,0.02
100552,0.168
100553,0.04
100561,0.228
100568,0.338
100569,0.022
100591,0.134
100592,0.018
100602,0.05
100607,0.044
100613,0.074
100617,0.152
100618,0.118
100622,0.092
100625,0.18
100677,0.118
100699,0.022
100702,0.398
100711,0.126
100729,0.16
100740,0.14
100744,0.18
100745,0.1
100747,0.236
100751,0.372
100752,0.09
100753,0.222
100754,0.23
100760,0.088
100762,0.08
100763,0.152
100765,0.034
100770,0.17
100772,0.004
100777,0.0
100791,0.01
100792,0.024
100797,0.038
100823,0.032
100826,0.038
100830,0.014
100836,0.326
100872,0.142
100910,0.084
100913,0.314
100918,0.136
100931,0.026
100952,0.096
100953,0.092
100965,0.296
100970,0.01
100982,0.124
100983,0.342
100984,0.08
100987,0.074
100997,0.036
100998,0.1
101002,0.068
101005,0.13
101008,0.13
101020,0.04
101021,0.01
101024,0.194
101025,0.128
101026,0.066
101031,0.012
101041,0.006
101051,0.01
101055,0.192
101056,0.328
101057,0.01
101064,0.088
101079,0.118
101087,0.024
101090,0.016
101092,0.154
101097,0.134
101099,0.026
101107,0.112
101118,0.028
101125,0.134
101126,0.016
101128,0.036
101136,0.202
101140,0.188
101149,0.134
101160,0.034
101169,0.32
101181,0.062
101186,0.012
101190,0.11
101193,0.086
101194,0.23
101198,0.22
101200,0.126
101204,0.018
101211,0.012
101213,0.136
101223,0.11
